adw-gtk-theme 6.5-1
alacritty 0.17.0-1
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bash-language-server 5.6.0-1
brightnessctl 0.5.1-3
cmake 4.3.3-1
cups 2:2.4.19-1
cups-pdf 3.0.3-1
dosfstools 4.2-5
dunst 1.13.2-1
e2fsprogs 1.47.4-1
efibootmgr 18-4
feh 3.12.2-1
figlet 2.2.5-6
firefox 151.0.4-1
firefox-extension-passff 1.17.0-2
firefox-ublock-origin 1.70.0-1
fzf 0.72.0-1
git 2.54.0-1
gnu-free-fonts 20120503-9
grub 2:2.14-1
inkscape 1.4.4-2
intel-ucode 20260512-1
linux 7.0.11.arch1-1
linux-firmware 20260519-1
linux-headers 7.0.11.arch1-1
lua-language-server 3.18.2-1
ly 1.4.1-1
man-db 2.13.1-1
man-pages 6.18-1
marksman 20260208-3
mtools 1:4.0.49-1
neovim 0.12.3-1
networkmanager 1.56.1-1
nitrogen 1.6.1-6
noto-fonts 1:2026.06.01-1
noto-fonts-emoji 1:2.051-1
nvm 0.40.4-1
openssh 10.3p1-1
os-prober 1.84-1
pass 1.7.4-7
pdfarranger 1.14.0-1
playerctl 2.4.1-5
pulseaudio 17.0+r98+gb096704c0-1
qtile 0.36.0-1
rclone 1.74.3-1
ripgrep 15.1.0-3
shellcheck 0.11.0-110
shfmt 3.13.1-1
stow 2.4.1-1
sudo 1.9.17.p2-2
texinfo 7.3-1
thunar 4.20.8-3
tldr 3.4.4-1
toilet 0.3.r155.3eb9d58-3
tree 2.3.2-1
tree-sitter-cli 0.26.9-1
ttf-iosevka-nerd 3.4.0-2
ttf-jetbrains-mono-nerd 3.4.0-2
unicode-emoji 17.0-1
vivify 0.14.0-1
wget 1.25.0-5
xclip 0.13-6
xdg-utils 1.2.1-2
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-3
xorg-font-util 1.4.2-1
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-iceauth 1.0.11-1
xorg-mkfontscale 1.2.4-1
xorg-server 21.1.23-1
xorg-server-devel 21.1.23-1
xorg-server-src 21.1.23-1
xorg-server-xephyr 21.1.23-1
xorg-server-xnest 21.1.23-1
xorg-server-xvfb 21.1.23-1
xorg-sessreg 1.1.4-1
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.5-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.7-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-2
xorg-xkill 1.0.7-1
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.6-1
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-2
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.12-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
yarn 1.22.22-2
yay 12.6.0-1
yay-debug 12.6.0-1
zathura 2026.05.20-1
zathura-pdf-poppler 2026.05.10-3
zip 3.0-13
